index	label	prediction	l0	l1	l2	linf
110970	1	1	7	0.1722895599999999	0.08744188076004317	0.06022604000000009
264051	1	1	4	0.09036246000000007	0.05607712403120904	0.03988296000000002
90207	1	1	1	0.012581040000000043	0.012581040000000043	0.012581040000000043
216696	0	0	5	0.23405053999999997	0.11630699240850315	0.07682050000000007
62041	0	0	2	0.08833950000000002	0.0767960408045233	0.07575850000000006
13425	0	0	3	0.03969049999999996	0.02897800076351024	0.02530650000000001
22028	0	0	4	0.14877952	0.08780670488482305	0.07575850000000006
238110	1	1	2	0.028184000000000042	0.02300470448625681	0.022217500000000112
38652	0	0	6	0.2172419399999999	0.11312557919534377	0.08752795999999996
860	0	0	5	0.1770574600000001	0.09294309222912485	0.07575850000000006
66291	0	0	2	0.04980896000000001	0.042314964278392125	0.04148896000000002
108804	1	1	5	0.22421060000000004	0.10892706700381502	0.06343804000000008
111424	1	1	8	0.54993504	0.21080603933445935	0.12553604000000007
94314	1	1	1	0.00936904000000005	0.00936904000000005	0.00936904000000005
366	0	0	3	0.128641	0.09266625443223657	0.07692999999999994
63682	0	0	5	0.17643246000000018	0.09852910891189272	0.07575850000000006
166122	0	0	1	0.0222175	0.0222175	0.0222175
150809	0	0	2	0.0466525000000001	0.03800551635289286	0.03667150000000008
203469	0	0	5	0.16291448999999997	0.09240054823111439	0.07093249999999995
31706	0	0	4	0.144119	0.09687563799789914	0.0909105
244867	1	1	3	0.06039196999999999	0.03972568518353962	0.03434500999999998
110115	1	1	5	0.34630304	0.1699984957930558	0.09930504000000007
6366	0	0	4	0.16113400000000005	0.10327067326932655	0.0909105
206005	0	0	3	0.05144301999999984	0.03879251985860669	0.03667049999999994
7626	0	0	3	0.2188379599999999	0.12903697206429476	0.09288096000000001
218656	0	0	1	0.06450850000000008	0.06450850000000008	0.06450850000000008
178303	0	0	4	0.1511209799999999	0.08167037666412706	0.05540749999999994
64383	0	0	1	0.053265959999999946	0.053265959999999946	0.053265959999999946
21605	0	0	1	0.013116959999999955	0.013116959999999955	0.013116959999999955
197806	0	0	3	0.11593295000000003	0.09404840968885383	0.09234549999999997
50819	0	0	3	0.17743849000000006	0.10364198840330162	0.06945298999999999
219495	1	1	1	0.017934500000000075	0.017934500000000075	0.017934500000000075
134344	0	0	2	0.008644950000000096	0.006640949762835189	0.006157500000000038
52582	0	0	6	0.19622755999999986	0.11452148672826425	0.10606150000000003
257082	1	1	5	0.1529299399999999	0.08345866064874272	0.06718495999999996
48168	0	0	3	0.07241495999999992	0.057144156162827336	0.055942959999999986
111659	1	1	5	0.37141802999999995	0.17567444754107212	0.1125555
196419	0	0	6	0.33036798	0.14451809436994523	0.07682049999999996
175885	0	0	4	0.15185600999999996	0.09373498595828612	0.0762855
187367	0	0	6	0.18611698000000002	0.08198847314214602	0.04523650000000001
177108	0	0	1	0.03613549999999999	0.03613549999999999	0.03613549999999999
122836	0	0	3	0.14945649999999996	0.12171811559808998	0.11857649999999997
153109	0	0	6	0.19251303999999997	0.09102301754018487	0.06718550000000001
155845	0	0	2	0.12274250000000009	0.10721311141017222	0.10587849999999999
160186	0	0	3	0.07430401999999997	0.05093184654909346	0.045771500000000076
140665	0	0	1	0.033459500000000086	0.033459500000000086	0.033459500000000086
226540	1	1	3	0.08366701000000004	0.05812904111664413	0.04791350000000005
248440	1	1	1	0.0034809999999999564	0.0034809999999999564	0.0034809999999999564
249171	1	1	2	0.02847450000000007	0.021762174897054808	0.020076500000000053
268193	1	1	1	0.03720650000000003	0.03720650000000003	0.03720650000000003
252151	1	1	1	0.03720650000000003	0.03720650000000003	0.03720650000000003
64454	0	0	3	0.15504649999999998	0.1008898483111656	0.07575850000000006
152314	0	0	2	0.08611599999999997	0.08381304636212673	0.08378050000000004
20427	0	0	4	0.12101701999999998	0.09281322266466346	0.0909105
89267	1	1	3	0.05624953999999993	0.0380857738339606	0.028641040000000006
268280	1	1	4	0.11617295000000008	0.06455498567478508	0.04898396000000005
239356	1	1	1	0.023287500000000017	0.023287500000000017	0.023287500000000017
150664	0	0	2	0.02658250000000001	0.020460204281727012	0.01900550000000001
143942	0	0	5	0.19516148999999997	0.1114211377702243	0.08645650000000005
63214	0	0	6	0.21405650999999992	0.10833565060251636	0.07575850000000006
233517	1	1	3	0.07076799999999994	0.056265338944149285	0.05433750000000004
64422	0	0	4	0.10090895999999994	0.06302482109725978	0.05380196000000004
2444	0	0	3	0.14073050000000004	0.10981613463990621	0.10606150000000003
2663	0	0	7	0.33344399999999996	0.1506834350235619	0.10606150000000003
51465	0	0	3	0.06939050000000002	0.0433124972756132	0.03627049999999998
173515	0	0	4	0.20504699999999992	0.114530901330165	0.07682049999999996
180954	0	0	4	0.1848015	0.1041572315480303	0.06825550000000002
33971	0	0	1	0.07253796000000001	0.07253796000000001	0.07253796000000001
64387	0	0	1	0.07521496000000005	0.07521496000000005	0.07521496000000005
177393	0	0	1	0.08538650000000003	0.08538650000000003	0.08538650000000003
249519	1	1	2	0.08555600000000002	0.06785531540343769	0.06450850000000008
99689	1	1	5	0.27146549	0.12858228305190456	0.07209549000000001
1950	0	0	6	0.27100655999999995	0.15299874391749763	0.10606150000000003
18191	0	0	1	0.03988296000000002	0.03988296000000002	0.03988296000000002
163859	0	0	4	0.19817751999999994	0.1038941963836787	0.06611449999999996
56147	0	0	1	0.06129596000000004	0.06129596000000004	0.06129596000000004
41321	0	0	1	0.06611396000000003	0.06611396000000003	0.06611396000000003
41994	0	0	2	0.05356249999999996	0.046172783425411965	0.04545549999999998
77833	1	1	3	0.06950153999999997	0.04969262745812102	0.04684304000000006
5035	0	0	2	0.04194996999999995	0.03993602345691043	0.03988247
128522	0	0	3	0.10103202	0.07229629923502588	0.06825550000000002
114109	1	1	6	0.51127001	0.22776873099984576	0.13093901
10817	0	0	4	0.20330045999999996	0.11385663511245887	0.08163896000000004
136796	0	0	1	0.013116500000000086	0.013116500000000086	0.013116500000000086
4076	0	0	2	0.01875300000000002	0.016507937999641297	0.016329000000000038
94120	1	1	2	0.053099039999999986	0.04915658043153124	0.048984040000000006
25599	0	0	3	0.09664200000000006	0.07791536997601956	0.07575850000000006
119015	0	0	3	0.1592005	0.09200328581496424	0.055942500000000006
194684	0	0	3	0.17419049999999994	0.10181581827373383	0.07093249999999995
238687	1	1	3	0.031631500000000146	0.01986406918911639	0.015793500000000016
246393	1	1	1	0.02168150000000002	0.02168150000000002	0.02168150000000002
34307	0	0	5	0.2841099599999999	0.13081153918459024	0.07842696000000005
215320	0	0	1	0.01151050000000009	0.01151050000000009	0.01151050000000009
44912	0	0	1	0.04545549999999998	0.04545549999999998	0.04545549999999998
188931	0	0	5	0.29830149000000006	0.14495788640495044	0.08699250000000003
71681	0	0	1	0.04951896	0.04951896	0.04951896
107912	1	1	7	0.27952304	0.11941707031099703	0.06932704
225531	1	1	1	0.05701400000000001	0.05701400000000001	0.05701400000000001
28948	0	0	5	0.11420152	0.07971937450062191	0.07575850000000006
60947	0	0	1	0.047912960000000004	0.047912960000000004	0.047912960000000004
63620	0	0	2	0.08459250000000007	0.07627181575293726	0.07575850000000006
36791	0	0	1	0.018952499999999983	0.018952499999999983	0.018952499999999983
169361	0	0	1	0.03988350000000007	0.03988350000000007	0.03988350000000007
83887	1	1	2	0.025957540000000057	0.022977590158491486	0.022753040000000113
222778	1	1	2	0.06835449999999998	0.05429085462810472	0.0516605
1278	0	0	4	0.11233543000000012	0.06957643406745205	0.05754895999999998
149469	0	0	1	0.0008040000000000269	0.0008040000000000269	0.0008040000000000269
233275	1	1	3	0.09580597999999996	0.06818575256782317	0.06290300000000004
28387	0	0	5	0.18440245999999996	0.10073831268227103	0.07575850000000006
28720	0	0	3	0.12813394999999997	0.08347501742522549	0.07414396000000001
38912	0	0	4	0.20900245999999995	0.12255130935698563	0.0909105
120793	0	0	2	0.052987019999999996	0.048181366599966885	0.04791350000000005
